@relation area_under_roc_curve

@attribute task_id numeric
@attribute weka.A1DE numeric
@attribute weka.AdaBoostM1_DecisionStump numeric
@attribute weka.Bagging_REPTree numeric
@attribute weka.BayesNet_K2 numeric
@attribute weka.BFTree numeric
@attribute weka.ConjunctiveRule numeric
@attribute weka.Dagging_DecisionStump numeric
@attribute weka.DecisionStump numeric
@attribute weka.DecisionTable_BestFirst numeric
@attribute weka.END_ND_J48 numeric
@attribute weka.FT numeric
@attribute weka.FURIA numeric
@attribute weka.Grading_ZeroR numeric
@attribute weka.HoeffdingTree numeric
@attribute weka.HyperPipes numeric
@attribute weka.IB1 numeric
@attribute weka.IBk numeric
@attribute weka.J48 numeric
@attribute weka.J48graft numeric
@attribute weka.JRip numeric
@attribute weka.KStar numeric
@attribute weka.LADTree numeric
@attribute weka.LibLINEAR numeric
@attribute weka.LibSVM numeric
@attribute weka.LMT numeric
@attribute weka.Logistic numeric
@attribute weka.LogitBoost_DecisionStump numeric
@attribute weka.LWL_DecisionStump numeric
@attribute weka.MultiBoostAB_DecisionStump numeric
@attribute weka.NaiveBayes numeric
@attribute weka.NBTree numeric
@attribute weka.OLM numeric
@attribute weka.OneR numeric
@attribute weka.PART numeric
@attribute weka.RacedIncrementalLogitBoost_DecisionStump numeric
@attribute weka.RandomForest numeric
@attribute weka.RandomSubSpace_REPTree numeric
@attribute weka.RandomTree numeric
@attribute weka.RBFClassifier numeric
@attribute weka.REPTree numeric
@attribute weka.Ridor numeric
@attribute weka.RotationForest_PrincipalComponents_J48 numeric
@attribute weka.SimpleCart numeric
@attribute weka.SimpleLogistic numeric
@attribute weka.SMO_PolyKernel numeric
@attribute weka.SMO_RBFKernel numeric
@attribute weka.VFI numeric
@attribute weka.ZeroR numeric


@data
29 , 0.924027 , 0.939395 , 0.930371 , 0.920429 , 0.87953 , 0.843827 , 0.873309 , 0.840701 , 0.917257 , 0.879147 , 0.855274 , 0.88556 , 0.5 , 0.740736 , 0.554673 , 0.80897 , 0.911436 , 0.894881 , 0.879147 , 0.878871 , 0.855636 , 0.925613 , 0.761739 , 0.851613 , 0.904032 , 0.907443 , 0.933327 , 0.905916 , 0.937664 , 0.913583 , 0.913757 , 0.598621 , 0.862019 , 0.886546 , 0.493838 , 0.928972 , 0.929342 , 0.791901 , 0.913574 , 0.881371 , 0.858799 , 0.925498 , 0.884535 , 0.914536 , 0.866581 , 0.924112 , 0.906584 , 0.493838 
30 , 0.990685 , 0.893628 , 0.991546 , 0.979891 , 0.917301 , 0.834623 , 0.887273 , 0.743075 , 0.971827 , 0.974014 , 0.951107 , 0.952418 , 0.5 , 0.566661 , 0.412102 , 0.872928 , 0.963661 , 0.978854 , 0.946744 , 0.930177 , 0.982718 , 0.983145 , 0.861382 , 0.586576 , 0.985127 , 0.986849 , 0.990628 , 0.952192 , 0.893628 , 0.979328 , 0.97902 , 0.68233 , 0.817436 , 0.955874 , 0.972268 , 0.99246 , 0.991721 , 0.920341 , 0.911292 , 0.975308 , 0.917858 , 0.992762 , 0.957517 , 0.986838 , 0.856534 , 0.895315 , 0.958843 , 0.499175 
31 , 0.785631 , 0.773314 , 0.777405 , 0.778938 , 0.67155 , 0.5 , 0.732571 , 0.650595 , 0.72084 , 0.639755 , 0.660445 , 0.650131 , 0.5 , 0.779105 , 0.505455 , 0.640714 , 0.745855 , 0.728383 , 0.640255 , 0.626693 , 0.675155 , 0.724371 , 0.514048 , 0.610476 , 0.788814 , 0.78485 , 0.7694 , 0.759483 , 0.772048 , 0.781452 , 0.744057 , 0.484048 , 0.562619 , 0.659457 , 0.5 , 0.780505 , 0.794852 , 0.610448 , 0.783848 , 0.729102 , 0.555952 , 0.791405 , 0.724279 , 0.788814 , 0.690714 , 0.691905 , 0.771193 , 0.5 
32 , 0.999347 , 0.709704 , 0.999593 , 0.987829 , 0.983368 , 0.713767 , 0.723907 , 0.709704 , 0.96328 , 0.999426 , 0.994086 , 0.996228 , 0.499797 , 0.983635 , 0.884813 , 0.996611 , 0.999402 , 0.994274 , 0.985775 , 0.986532 , 0.999683 , 0.97482 , 0.911365 , 0.517973 , 0.995918 , 0.997642 , 0.999323 , 0.949214 , 0.709704 , 0.987223 , 0.99271 , 0.570621 , 0.66123 , 0.986311 , 0.990506 , 0.999799 , 0.999685 , 0.975587 , 0.919365 , 0.98985 , 0.975219 , 0.999765 , 0.98477 , 0.997613 , 0.999291 , 0.999162 , 0.958993 , 0.498812 
34 , 0.35957 , 0.435907 , 0.413339 , 0.399226 , 0.426573 , 0.426573 , 0.367418 , 0.415343 , 0.464444 , 0.441155 , 0.339685 , 0.396892 , 0.5 , 0.436804 , 0.472344 , 0.432401 , 0.408248 , 0.444406 , 0.441408 , 0.510839 , 0.388371 , 0.460107 , 0.515734 , 0.5 , 0.5 , 0.384204 , 0.370607 , 0.375851 , 0.454419 , 0.390873 , 0.414109 , 0.460082 , 0.477273 , 0.453134 , 0.426573 , 0.452331 , 0.420098 , 0.431197 , 0.377506 , 0.41306 , 0.5 , 0.452906 , 0.426573 , 0.5 , 0.5 , 0.5 , 0.421966 , 0.426573 
35 , 0.999455 , 0.768636 , 0.994954 , 0.99942 , 0.973377 , 0.790902 , 0.8618 , 0.768636 , 0.951659 , 0.998727 , 0.996478 , 0.985666 , 0.5 , 0.999244 , 0.973197 , 0.9708 , 0.998911 , 0.975814 , 0.977887 , 0.953009 , 0.995686 , 0.995259 , 0.980309 , 0.897032 , 0.996987 , 0.992301 , 0.997793 , 0.982692 , 0.768636 , 0.999323 , 0.993618 , 0.563253 , 0.675478 , 0.974406 , 0.486693 , 0.998807 , 0.998489 , 0.951888 , 0.986744 , 0.965246 , 0.966902 , 0.998916 , 0.97067 , 0.996987 , 0.991918 , 0.997189 , 0.994071 , 0.486693 
36 , 0.997721 , 0.768209 , 0.998493 , 0.98747 , 0.984052 , 0.763133 , 0.875555 , 0.768209 , 0.986841 , 0.998711 , 0.990233 , 0.99237 , 0.5 , 0.963404 , 0.946535 , 0.984596 , 0.995347 , 0.994461 , 0.98674 , 0.98769 , 0.998642 , 0.990194 , 0.89697 , 0.789394 , 0.995627 , 0.995543 , 0.998988 , 0.970839 , 0.768209 , 0.987348 , 0.987648 , 0.597222 , 0.797222 , 0.984577 , 0.97933 , 0.999513 , 0.998819 , 0.976515 , 0.961148 , 0.992021 , 0.97904 , 0.999522 , 0.98417 , 0.996283 , 0.997625 , 0.991256 , 0.968619 , 0.5 
37 , 0.814918 , 0.824082 , 0.835157 , 0.811071 , 0.703481 , 0.695515 , 0.785534 , 0.697425 , 0.791534 , 0.744343 , 0.79119 , 0.734612 , 0.5 , 0.775903 , 0.507362 , 0.665522 , 0.801037 , 0.803679 , 0.745354 , 0.726944 , 0.734291 , 0.79366 , 0.558552 , 0.722716 , 0.826067 , 0.83003 , 0.814276 , 0.779731 , 0.827474 , 0.813597 , 0.805328 , 0.603731 , 0.664343 , 0.793701 , 0.497015 , 0.831302 , 0.832015 , 0.673179 , 0.821612 , 0.799179 , 0.671612 , 0.836933 , 0.764101 , 0.826067 , 0.720985 , 0.726119 , 0.540888 , 0.497015 
38 , 0.96765 , 0.752529 , 0.955457 , 0.970446 , 0.893659 , 0.768615 , 0.903407 , 0.752529 , 0.939446 , 0.958306 , 0.952152 , 0.915926 , 0.5 , 0.955907 , 0.853871 , 0.871514 , 0.960913 , 0.930535 , 0.892259 , 0.92054 , 0.956186 , 0.960997 , 0.912569 , 0.837825 , 0.964475 , 0.950015 , 0.962067 , 0.934884 , 0.752529 , 0.96311 , 0.951263 , 0.713083 , 0.779046 , 0.922938 , 0.472046 , 0.96572 , 0.967008 , 0.862561 , 0.936027 , 0.923934 , 0.874209 , 0.966538 , 0.916486 , 0.964475 , 0.953073 , 0.956451 , 0.940263 , 0.472046 
39 , 0.866815 , 0.918269 , 0.895328 , 0.860964 , 0.731773 , 0.679205 , 0.806864 , 0.678044 , 0.771617 , 0.688075 , 0.797994 , 0.832219 , 0.5 , 0.801802 , 0.597985 , 0.852512 , 0.913718 , 0.763119 , 0.698012 , 0.763815 , 0.936333 , 0.802498 , 0.773939 , 0.782948 , 0.755735 , 0.711897 , 0.917154 , 0.78462 , 0.911024 , 0.862914 , 0.787452 , 0.5 , 0.710829 , 0.69778 , 0.485186 , 0.932665 , 0.88474 , 0.770131 , 0.859385 , 0.706929 , 0.719885 , 0.953562 , 0.690815 , 0.813597 , 0.859617 , 0.936658 , 0.607969 , 0.866815 
