@relation kappa

@attribute task_id numeric
@attribute weka.A1DE numeric
@attribute weka.AdaBoostM1_DecisionStump numeric
@attribute weka.Bagging_REPTree numeric
@attribute weka.BayesNet_K2 numeric
@attribute weka.BFTree numeric
@attribute weka.ConjunctiveRule numeric
@attribute weka.Dagging_DecisionStump numeric
@attribute weka.DecisionStump numeric
@attribute weka.DecisionTable_BestFirst numeric
@attribute weka.END_ND_J48 numeric
@attribute weka.FT numeric
@attribute weka.FURIA numeric
@attribute weka.Grading_ZeroR numeric
@attribute weka.HoeffdingTree numeric
@attribute weka.HyperPipes numeric
@attribute weka.IB1 numeric
@attribute weka.IBk numeric
@attribute weka.J48 numeric
@attribute weka.J48graft numeric
@attribute weka.JRip numeric
@attribute weka.KStar numeric
@attribute weka.LADTree numeric
@attribute weka.LibLINEAR numeric
@attribute weka.LibSVM numeric
@attribute weka.LMT numeric
@attribute weka.Logistic numeric
@attribute weka.LogitBoost_DecisionStump numeric
@attribute weka.LWL_DecisionStump numeric
@attribute weka.MultiBoostAB_DecisionStump numeric
@attribute weka.NaiveBayes numeric
@attribute weka.NBTree numeric
@attribute weka.OLM numeric
@attribute weka.OneR numeric
@attribute weka.PART numeric
@attribute weka.RacedIncrementalLogitBoost_DecisionStump numeric
@attribute weka.RandomForest numeric
@attribute weka.RandomSubSpace_REPTree numeric
@attribute weka.RandomTree numeric
@attribute weka.RBFClassifier numeric
@attribute weka.REPTree numeric
@attribute weka.Ridor numeric
@attribute weka.RotationForest_PrincipalComponents_J48 numeric
@attribute weka.SimpleCart numeric
@attribute weka.SimpleLogistic numeric
@attribute weka.SMO_PolyKernel numeric
@attribute weka.SMO_RBFKernel numeric
@attribute weka.VFI numeric
@attribute weka.ZeroR numeric


@data
29 , 0.728302 , 0.737959 , 0.732136 , 0.727771 , 0.685334 , 0.711618 , 0.711618 , 0.711618 , 0.699241 , 0.715111 , 0.661808 , 0.722601 , 0 , 0.510953 , 0.006404 , 0.620145 , 0.725432 , 0.727036 , 0.715111 , 0.728441 , 0.548629 , 0.686148 , 0.530333 , 0.69536 , 0.699627 , 0.693991 , 0.733767 , 0.711618 , 0.751641 , 0.610846 , 0.690815 , 0.181575 , 0.711618 , 0.695439 , 0 , 0.740284 , 0.745525 , 0.543748 , 0.726137 , 0.70527 , 0.711848 , 0.754642 , 0.672011 , 0.714667 , 0.720358 , 0.725077 , 0.699627 , 0 
30 , 0.834579 , 0.579507 , 0.864858 , 0.710644 , 0.802254 , 0.595631 , 0.580779 , 0.579507 , 0.753947 , 0.852144 , 0.848443 , 0.83898 , 0 , 0.115202 , 0.30074 , 0.776525 , 0.789626 , 0.848238 , 0.841694 , 0.838265 , 0.837286 , 0.778418 , 0.725364 , 0.270167 , 0.833864 , 0.802404 , 0.845233 , 0.579507 , 0.579507 , 0.705027 , 0.845384 , 0.332044 , 0.640859 , 0.835156 , 0.742704 , 0.871886 , 0.839509 , 0.816567 , 0.493937 , 0.835328 , 0.844001 , 0.877632 , 0.818118 , 0.80287 , 0.774423 , 0.812422 , 0.551914 , 0 
31 , 0.369919 , 0.332814 , 0.352818 , 0.383053 , 0.296875 , 0 , 0.011936 , 0 , 0.275401 , 0.25841 , 0.283654 , 0.260042 , 0 , 0.36747 , 0.000664 , 0.288856 , 0.308743 , 0.301848 , 0.260204 , 0.261658 , 0.252475 , 0.244792 , 0.034829 , 0.257206 , 0.381994 , 0.381882 , 0.366734 , 0 , 0.312434 , 0.383053 , 0.32 , -0.03855 , 0.156734 , 0.227977 , 0 , 0.394737 , 0.230539 , 0.200192 , 0.35166 , 0.265659 , 0.135838 , 0.373695 , 0.355087 , 0.381994 , 0.39536 , 0.399802 , 0.373935 , 0 
32 , 0.978667 , 0.111734 , 0.980487 , 0.865847 , 0.954099 , 0.111942 , 0.11615 , 0.111734 , 0.730265 , 0.984835 , 0.979072 , 0.978162 , -0.000406 , 0.894552 , 0.040504 , 0.993226 , 0.993226 , 0.963199 , 0.962693 , 0.960974 , 0.991103 , 0.796986 , 0.822502 , 0.035954 , 0.983116 , 0.950359 , 0.979678 , 0.607066 , 0.111734 , 0.873425 , 0.948639 , 0.141489 , 0.322578 , 0.966232 , 0.887784 , 0.991103 , 0.984835 , 0.951168 , 0.652489 , 0.949854 , 0.950459 , 0.994541 , 0.955212 , 0.948944 , 0.995046 , 0.995956 , 0.757094 , -0.000406 
34 , -0.098425 , -0.021008 , 0 , 0.064 , 0 , 0 , 0 , -0.021008 , -0.041322 , -0.021008 , -0.070579 , 0.012195 , 0 , -0.021008 , -0.021008 , -0.147651 , 0 , 0 , -0.021008 , 0 , -0.133588 , -0.051095 , 0.043307 , 0 , 0 , 0.001345 , 0.012112 , -0.041322 , -0.021008 , 0.012195 , 0.012195 , -0.077687 , -0.060976 , -0.11745 , 0 , -0.1 , 0 , -0.086207 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -0.009679 , 0 
35 , 0.972648 , 0.339717 , 0.917566 , 0.96581 , 0.938476 , 0.337713 , 0.396372 , 0.339717 , 0.830739 , 0.962373 , 0.96237 , 0.938157 , 0 , 0.958957 , 0.889825 , 0.938491 , 0.958963 , 0.921385 , 0.920834 , 0.81935 , 0.931669 , 0.962389 , 0.958958 , 0.789695 , 0.972645 , 0.969178 , 0.965807 , 0.847663 , 0.339717 , 0.965803 , 0.952106 , 0.140223 , 0.339717 , 0.934934 , 0 , 0.969194 , 0.958863 , 0.877028 , 0.776469 , 0.890021 , 0.93166 , 0.97947 , 0.931634 , 0.972645 , 0.972614 , 0.972601 , 0.955467 , 0 
36 , 0.955556 , 0.166667 , 0.964646 , 0.90101 , 0.94798 , 0.166667 , 0.488384 , 0.166667 , 0.860606 , 0.975758 , 0.962121 , 0.969697 , 0 , 0.763636 , 0.713636 , 0.969192 , 0.969192 , 0.961616 , 0.959596 , 0.944444 , 0.966667 , 0.906061 , 0.793939 , 0.578788 , 0.959091 , 0.955556 , 0.971717 , 0.771212 , 0.166667 , 0.897475 , 0.942929 , 0.194444 , 0.594444 , 0.958081 , 0.858586 , 0.980808 , 0.965657 , 0.95303 , 0.733838 , 0.954545 , 0.958081 , 0.981818 , 0.95202 , 0.942929 , 0.970707 , 0.969192 , 0.736364 , 0 
37 , 0.46984 , 0.438457 , 0.476928 , 0.447875 , 0.388074 , 0.391778 , 0.365619 , 0.392583 , 0.400703 , 0.414688 , 0.476612 , 0.442811 , 0 , 0.417469 , 0.022882 , 0.336285 , 0.434396 , 0.468537 , 0.417136 , 0.434545 , 0.308707 , 0.430889 , 0.116801 , 0.46898 , 0.454459 , 0.482934 , 0.454261 , 0.368284 , 0.447866 , 0.456199 , 0.446904 , 0.244254 , 0.35216 , 0.412401 , 0 , 0.49437 , 0.416471 , 0.345461 , 0.457795 , 0.438328 , 0.372224 , 0.474055 , 0.427201 , 0.454459 , 0.472393 , 0.481411 , 0.054341 , 0 
38 , 0.748728 , 0.449029 , 0.792162 , 0.749468 , 0.762465 , 0.447521 , 0.447017 , 0.449029 , 0.697205 , 0.783511 , 0.823138 , 0.758985 , 0 , 0.774378 , 0.58404 , 0.721641 , 0.835155 , 0.758585 , 0.74902 , 0.743262 , 0.73592 , 0.797893 , 0.817405 , 0.652839 , 0.814629 , 0.798783 , 0.809976 , 0.447521 , 0.449029 , 0.800477 , 0.756126 , 0.458523 , 0.538162 , 0.755002 , 0 , 0.810207 , 0.779853 , 0.70271 , 0.624853 , 0.734154 , 0.727828 , 0.851625 , 0.761966 , 0.814629 , 0.831499 , 0.830901 , 0.645778 , 0 
39 , 0.464219 , 0.640978 , 0.590052 , 0.464219 , 0.402686 , 0.311065 , 0.415894 , 0.402637 , 0.426756 , 0.353258 , 0.499027 , 0.563921 , 0 , 0.364001 , 0.108464 , 0.708711 , 0.711352 , 0.41894 , 0.390285 , 0.487065 , 0.717497 , 0.495758 , 0.552186 , 0.571094 , 0.438309 , 0.394231 , 0.649995 , 0.471535 , 0.602684 , 0.464219 , 0.515152 , 0 , 0.425253 , 0.383418 , 0 , 0.678109 , 0.532716 , 0.538163 , 0.527009 , 0.36846 , 0.43977 , 0.747219 , 0.36846 , 0.535757 , 0.719703 , 0.797553 , 0.122765 , 0.464219 
